,School_Name,District,Latitude,Longitude,Address,Student_Attendance_Rate,Average_ELA_Proficiency,Average_Math_Proficiency,avg_math_ela,borough
0,P.S. 015 ROBERTO CLEMENTE,1,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009",0.94,2.14,2.17,2.1550000000000002,1
1,P.S. 019 ASHER LEVY,1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",0.92,2.63,2.98,2.8049999999999997,1
2,P.S. 020 ANNA SILVER,1,40.721274,-73.986315,"166 ESSEX ST NEW YORK, NY 10002",0.94,2.39,2.54,2.465,1
3,P.S. 034 FRANKLIN D. ROOSEVELT,1,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009",0.92,2.48,2.47,2.475,1
4,THE STAR ACADEMY - P.S.63,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",0.93,2.38,2.54,2.46,1
5,P.S. 064 ROBERT SIMON,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",0.92,2.29,2.48,2.385,1
6,P.S. 110 FLORENCE NIGHTINGALE,1,40.715293,-73.979927,"285 DELANCEY ST NEW YORK, NY 10002",0.95,2.8,3.2,3.0,1
7,P.S. 134 HENRIETTA SZOLD,1,40.714301,-73.982966,"293 E BROADWAY NEW YORK, NY 10002",0.91,2.28,2.73,2.505,1
8,P.S. 140 NATHAN STRAUS,1,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",0.93,2.21,2.27,2.24,1
9,P.S. 142 AMALIA CASTRO,1,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002",0.92,2.16,2.31,2.2350000000000003,1
10,P.S. 184M SHUANG WEN,1,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",0.98,3.24,3.63,3.435,1
11,P.S. 188 THE ISLAND SCHOOL,1,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",0.91,2.17,2.32,2.245,1
12,ORCHARD COLLEGIATE ACADEMY,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",0.84,1.96,1.83,1.895,1
13,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",0.9,2.29,2.0,2.145,1
14,THE EAST VILLAGE COMMUNITY SCHOOL,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",0.95,2.86,3.2,3.0300000000000002,1
15,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",0.92,2.26,2.2,2.23,1
16,THE CHILDREN'S WORKSHOP SCHOOL,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",0.93,2.89,2.99,2.9400000000000004,1
17,NEIGHBORHOOD SCHOOL,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",0.93,2.55,2.68,2.615,1
18,EARTH SCHOOL,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",0.94,3.1,3.08,3.09,1
